surname,variant,variant_source,country,country_source,attested_by,phonetic_skeleton
'Ali,Ali,curated,,,,al
'Ali,AJELLO,sounds,,,,al
'Ali,ALOJA,sounds,,,,al
"*** GEORGINA BRAYLEY *** , aged 20","*** GEORGINA BRAYLEY *** , the Scotswoman",sounds,AR,archive,Lerena, rn brl 
"*** GEORGINA BRAYLEY *** , aged 20","*** GEORGINA BRAYLEY *** , the Scotswoman",sounds,ES,archive,Lerena, rn brl 
"*** GEORGINA BRAYLEY *** , aged 20","*** GEORGINA BRAYLEY *** , the Scotswoman",sounds,UY,archive,Lerena, rn brl 
"*** GEORGINA BRAYLEY *** , the Scotswoman","*** GEORGINA BRAYLEY *** , aged 20",sounds,AR,archive,Lerena, rn brl 
"*** GEORGINA BRAYLEY *** , the Scotswoman","*** GEORGINA BRAYLEY *** , aged 20",sounds,ES,archive,Lerena, rn brl 
"*** GEORGINA BRAYLEY *** , the Scotswoman","*** GEORGINA BRAYLEY *** , aged 20",sounds,UY,archive,Lerena, rn brl 
?,,,IT,archive,Falco,
[,,,IT,archive,Falco,
[BRIGIDO?],Bairéid,sounds,IT,archive,Falco,brd
[BRIGIDO?],Barde,sounds,IT,archive,Falco,brd
[BRUNO?],,,IT,archive,Falco,brn
[S,Z]ORBONE,curated,IT,archive,Falco,s
[VILLA?],Vogel,sounds,IT,archive,Falco,vl
[VILLA?],Vögele,sounds,IT,archive,Falco,vl
[VILLA?],Voegele,sounds,IT,archive,Falco,vl
[VILLA?],Vela,sounds,IT,archive,Falco,vl
A/GADIR,,,PL,register,pesel,agdr
AAB,,,PL,register,pesel,ab
Aabel,Abel,curated,,,,abl
Aabel,Abele,sounds,,,,abl
Aabel,Aubel,sounds,,,,abl
Aabel,Abbel,sounds,,,,abl
Aabel,Abello,sounds,,,,abl
Aadland,Odland,curated,,,,adlnd
Aadland,Ådland,curated,,,,adlnd
AAGTEN,,,PL,register,pesel,agtn
Aaker,Åker,curated,,,,akr
Aaker,Akre,sounds,,,,akr
Aaker,Aakre,sounds,,,,akr
AAKERMAN,,,PL,register,pesel,akrmn
Aakre,Akre,curated,,,,akr
Aakre,Åker,sounds,,,,akr
Aakre,Aaker,sounds,,,,akr
AAMIR,,,PL,register,pesel,amr
Aamodt,Aamot,curated,,,,amdt
Aamodt,Åmodt,curated,,,,amdt
Aamodt,Åmot,curated,,,,amdt
Aamodt,Aamoth,curated,,,,amdt
Aamot,Aamodt,curated,,,,amt
Aamot,Åmot,sounds,,,,amt
Aamot,Aamoth,sounds,,,,amt
Aamoth,Aamodt,curated,,,,amt
Aamoth,Aamot,sounds,,,,amt
Aamoth,Åmot,sounds,,,,amt
AANSTOOT,,,PL,register,pesel,anstt
Aarents,Arnold,curated,,,,arnts
Aarne,Arnold,curated,,,,arn
Aarne,Aron,sounds,,,,arn
Aarne,Aaron,sounds,,,,arn
Aarne,Arne,sounds,,,,arn
Aarne,Arn,sounds,,,,arn
Aarne,Arnau,sounds,,,,arn
Aarne,Arena,sounds,,,,arn
Aarne,ARGENIO,sounds,,,,arn
Aaron,Aron,curated,,,,arn
Aaron,Aarons,curated,,,,arn
Aaron,Ahrens,curated,,,,arn
Aaron,Aarne,sounds,,,,arn
Aaron,Arne,sounds,,,,arn
Aaron,Arn,sounds,,,,arn
Aaron,Arnau,sounds,,,,arn
Aaron,Arena,sounds,,,,arn
Aaron,ARGENIO,sounds,,,,arn
Aaronovich,Aharonovich,curated,,,,arnvc
Aarons,Aaron,curated,,,,arns
Aarons,Arens,sounds,,,,arns
Aarset,Aarseth,curated,,,,arst
Aarseth,Aarset,curated,,,,arst
AARSMAN,,,PL,register,pesel,arsmn
Aarts,Aerts,curated,PL,register,pesel,arts
AARVIK,,,PL,register,pesel,arvk
AASAR,,,PL,register,pesel,asr
Aasland,Åsland,curated,,,,aslnd
AAZAM,,,PL,register,pesel,azm
ABAD,,,PL,register,pesel,abd
ABADA,ABADY,grammar,PL,register,pesel,abd
ABADAN,,,PL,register,pesel,abdn
ABADI,,,PL,register,pesel,abd
ABADOWSKI,,,PL,register,pesel,abdvsk
ABADY,ABADA,grammar,,,,abd
ABADŻIJEW,,,PL,register,pesel,abdzv
ABADŻIJEWA,ABADŻIJEWY,grammar,PL,register,pesel,abdzv
ABADŻIJEWY,ABADŻIJEWA,grammar,,,,abdzv
ABAGYAN,,,PL,register,pesel,abgn
ABAH,,,PL,register,pesel,abh
ABAI,,,PL,register,pesel,ab
ABAID,,,PL,register,pesel,abd
ABAIMOW,,,PL,register,pesel,abmv
ABAJEW,,,PL,register,pesel,abv
ABAKANOWICZ,,,PL,register,pesel,abknvc
ABAKO,,,PL,register,pesel,abk
ABAKUMIEC,,,PL,register,pesel,abkmc
ABAKUMOW,,,PL,register,pesel,abkmv
Abalakov,Abalakow,curated,,,,ablkv
Abalakow,Abalakov,curated,,,,ablkv
ABALEWICZ,,,PL,register,pesel,ablvc
ABALI,,,PL,register,pesel,abl
ABALO,,,PL,register,pesel,abl
ABALOSZEWA,ABALOSZEWY,grammar,PL,register,pesel,ablsv
ABALOSZEWY,ABALOSZEWA,grammar,,,,ablsv
ABANI,,,PL,register,pesel,abn
ABANOBI,,,PL,register,pesel,abnb
ABANOWICZ,,,PL,register,pesel,abnvc
ABAR,,,PL,register,pesel,abr
ABAROWICZ,,,PL,register,pesel,abrvc
ABARZA COFRÉ,,,PL,register,pesel,abrz cfr
ABAS,,,PL,register,pesel,abs
ABASAU,,,PL,register,pesel,abs
ABAŠKIN,,,PL,register,pesel,abskn
ABASOW,,,PL,register,pesel,absv
ABASSY,,,PL,register,pesel,abs
ABASURU,,,PL,register,pesel,absr
ABASZÓW,,,PL,register,pesel,absv
ABASZYN,,,PL,register,pesel,absn
Abate,Abbate,curated,IT,archive,Falco,abt
Abate,Abbate,curated,PL,register,pesel,abt
Abate,Abatte,curated,IT,archive,Falco,abt
Abate,Abatte,curated,PL,register,pesel,abt
Abate,Abbot,sounds,IT,archive,Falco,abt
Abate,Abbot,sounds,PL,register,pesel,abt
Abate,Abbott,sounds,IT,archive,Falco,abt
Abate,Abbott,sounds,PL,register,pesel,abt
Abate,Abott,sounds,IT,archive,Falco,abt
Abate,Abott,sounds,PL,register,pesel,abt
Abate,Abot,sounds,IT,archive,Falco,abt
Abate,Abot,sounds,PL,register,pesel,abt
Abatiello,,,IT,archive,Falco,abtl
ABATORAB,,,PL,register,pesel,abtrb
Abatte,Abate,curated,,,,abt
Abatte,Abbot,sounds,,,,abt
Abatte,Abbott,sounds,,,,abt
Abatte,Abott,sounds,,,,abt
Abatte,Abot,sounds,,,,abt
Abatte,Abbate,sounds,,,,abt
ABAY,,,PL,register,pesel,ab
ABAZARI,,,PL,register,pesel,abzr
ABAŻEWSKA,ABAŻEWSKI,grammar,PL,register,pesel,abzvsk
ABAŻEWSKI,ABAŻEWSKA,grammar,,,,abzvsk
ABAZI,,,PL,register,pesel,abz
ABBÁ,,,PL,register,pesel,ab
ABBAD,,,PL,register,pesel,abd
ABBAGNALE,,,PL,register,pesel,abgnl
ABBAS,,,PL,register,pesel,abs
ABBASI,,,PL,register,pesel,abs
ABBASSI,,,PL,register,pesel,abs
Abbate,Abate,curated,IT,archive,Falco,abt
Abbate,Abate,curated,PL,register,pesel,abt
Abbate,Abbot,sounds,IT,archive,Falco,abt
Abbate,Abbot,sounds,PL,register,pesel,abt
Abbate,Abbott,sounds,IT,archive,Falco,abt
Abbate,Abbott,sounds,PL,register,pesel,abt
Abbate,Abott,sounds,IT,archive,Falco,abt
Abbate,Abott,sounds,PL,register,pesel,abt
Abbate,Abot,sounds,IT,archive,Falco,abt
Abbate,Abot,sounds,PL,register,pesel,abt
Abbate,Abatte,sounds,IT,archive,Falco,abt
Abbate,Abatte,sounds,PL,register,pesel,abt
ABBATECOLA,,,IT,archive,Falco,abtcl
Abbel,Abel,curated,,,,abl
Abbel,Abele,sounds,,,,abl
Abbel,Aabel,sounds,,,,abl
Abbel,Aubel,sounds,,,,abl
Abbel,Abello,sounds,,,,abl
ABBES,,,PL,register,pesel,abs
ABBEY,,,PL,register,pesel,ab
Abbiss,Abbs,curated,,,,abs
ABBONDANZO,,,PL,register,pesel,abndnz
Abbot,Abbott,curated,AU,archive,D'Arcy,abt
Abbot,Abbott,curated,GB,archive,D'Arcy,abt
Abbot,Abbott,curated,IE,archive,D'Arcy,abt
Abbot,Abott,curated,AU,archive,D'Arcy,abt
Abbot,Abott,curated,GB,archive,D'Arcy,abt
Abbot,Abott,curated,IE,archive,D'Arcy,abt
Abbot,Abot,curated,AU,archive,D'Arcy,abt
Abbot,Abot,curated,GB,archive,D'Arcy,abt
Abbot,Abot,curated,IE,archive,D'Arcy,abt
Abbot,Abbate,sounds,AU,archive,D'Arcy,abt
Abbot,Abbate,sounds,GB,archive,D'Arcy,abt
Abbot,Abbate,sounds,IE,archive,D'Arcy,abt
Abbot,Abate,sounds,AU,archive,D'Arcy,abt
Abbot,Abate,sounds,GB,archive,D'Arcy,abt
Abbot,Abate,sounds,IE,archive,D'Arcy,abt
Abbot,Abatte,sounds,AU,archive,D'Arcy,abt
Abbot,Abatte,sounds,GB,archive,D'Arcy,abt
Abbot,Abatte,sounds,IE,archive,D'Arcy,abt
Abbott,Abbot,curated,PL,register,pesel,abt
Abbott,Abott,curated,PL,register,pesel,abt
Abbott,Abot,curated,PL,register,pesel,abt
Abbott,Abbate,sounds,PL,register,pesel,abt
Abbott,Abate,sounds,PL,register,pesel,abt
Abbott,Abatte,sounds,PL,register,pesel,abt
ABBOUD,,,PL,register,pesel,abd
Abbs,Abbiss,curated,,,,abs
ABCZAK,,,PL,register,pesel,abck
ABCZYŃSKA,ABCZYŃSKI,grammar,PL,register,pesel,abcnsk
ABCZYŃSKI,ABCZYŃSKA,grammar,PL,register,pesel,abcnsk
ABD,,,PL,register,pesel,abd
ABD ALI,,,PL,register,pesel,abd l
ABD ALLA,,,PL,register,pesel,abd l
ABD ALLGANY,,,PL,register,pesel,abd lgn
ABD EL AZIZ,,,PL,register,pesel,abd l zz
ABD EL RAZEK,,,PL,register,pesel,abd l rz
ABD EL SHAFI,,,PL,register,pesel,abd l sh
ABD ELAZIZ,,,PL,register,pesel,abd lzz
ABD ELGHANY,,,PL,register,pesel,abd lgn
ABDALBER-ALFAKHOURI,,,PL,register,pesel,abdlbrlf
ABDALLA,ABDALLY,grammar,PL,register,pesel,abdl
ABDALLA ELNOUR,,,PL,register,pesel,abdl lnr
ABDALLAH,,,PL,register,pesel,abdlh
ABDALLY,ABDALLA,grammar,,,,abdl
ABDANK-KOZUBSKA,ABDANK-KOZUBSKI,grammar,PL,register,pesel,abdnkzbs
ABDANK-KOZUBSKI,ABDANK-KOZUBSKA,grammar,PL,register,pesel,abdnkzbs
ABDEEN,,,PL,register,pesel,abdn
ABDEL ALL,,,PL,register,pesel,abdl l
ABDEL AZIZ,,,PL,register,pesel,abdl zz
ABDEL BAGI,,,PL,register,pesel,abdl b
ABDEL FATTAH,,,PL,register,pesel,abdl fth
ABDEL GADIR,,,PL,register,pesel,abdl gdr
ABDEL GHANI,,,PL,register,pesel,abdl gn
ABDEL KADER,,,PL,register,pesel,abdl kdr
ABDEL MALAK,,,PL,register,pesel,abdl mlk
ABDEL MALEK,,,PL,register,pesel,abdl mlk
ABDEL MOEIN,,,PL,register,pesel,abdl mn
ABDEL RAHMAN,,,PL,register,pesel,abdl rhm
ABDEL RAOUF,,,PL,register,pesel,abdl rf
ABDEL SAMAD,,,PL,register,pesel,abdl smd
ABDEL WAHED,,,PL,register,pesel,abdl vhd
ABDEL-FATTAH,,,PL,register,pesel,abdlfth
ABDEL-QADER,,,PL,register,pesel,abdlqdr
ABDEL-SAMAD,,,PL,register,pesel,abdlsmd
ABDELAAL,,,PL,register,pesel,abdll
ABDELAZIZ,,,PL,register,pesel,abdlzz
ABDELDAIEM,,,PL,register,pesel,abdldm
ABDELGADER,,,PL,register,pesel,abdlgdr
ABDELGAWWAD,,,PL,register,pesel,abdlgvd
ABDELHADY ELBAYOUMI,,,PL,register,pesel,abdlhd l
ABDELHAFEZ,,,PL,register,pesel,abdlhfz
ABDELHAK,,,PL,register,pesel,abdlhk
ABDELHAKIM,,,PL,register,pesel,abdlhkm
ABDELHALIM,,,PL,register,pesel,abdlhlm
ABDELHAMED,,,PL,register,pesel,abdlhmd
ABDELKADER,,,PL,register,pesel,abdlkdr
ABDELKADIR,,,PL,register,pesel,abdlkdr
ABDELKAREAM AHMED,,,PL,register,pesel,abdlkrm 
ABDELKARIM,,,PL,register,pesel,abdlkrm
ABDELKAWY,,,PL,register,pesel,abdlkv
ABDELKENANI,,,PL,register,pesel,abdlknn
ABDELLA,ABDELLY,grammar,PL,register,pesel,abdl
ABDELLAOUI,,,PL,register,pesel,abdl
ABDELLY,ABDELLA,grammar,,,,abdl
ABDELMASSIH,,,PL,register,pesel,abdlmsh
ABDELMAWGOUD,,,PL,register,pesel,abdlmvgd
ABDELMOUATTY,,,PL,register,pesel,abdlmt
ABDELMOULA,ABDELMOULY,grammar,PL,register,pesel,abdlml
ABDELMOULY,ABDELMOULA,grammar,,,,abdlml
ABDELNABI,,,PL,register,pesel,abdlnb
ABDELNABY ELKABIR,,,PL,register,pesel,abdlnb l
ABDELNAIM ALY,,,PL,register,pesel,abdlnm l
ABDELRAHMAN,,,PL,register,pesel,abdlrhmn
ABDELRAZEK,,,PL,register,pesel,abdlrzk
ABDELWAHAB,,,PL,register,pesel,abdlvhb
ABDEN NAFA,ABDEN NAFY,grammar,PL,register,pesel,abdn nf
ABDEN NAFY,ABDEN NAFA,grammar,,,,abdn nf
ABDI,,,PL,register,pesel,abd
ABDOU,,,PL,register,pesel,abd
ABDOUL,,,PL,register,pesel,abdl
ABDOWICZ,,,PL,register,pesel,abdvc
ABDRACHMAN-ABDULSATAR,,,PL,register,pesel,abdrcmnb
ABDUL,,,PL,register,pesel,abdl
ABDUL HAMID,,,PL,register,pesel,abdl hmd
ABDUL RAZAK,,,PL,register,pesel,abdl rzk
ABDUL SAMAD,,,PL,register,pesel,abdl smd
ABDUL-BAKI,,,PL,register,pesel,abdlbk
ABDUL-KAREEM,,,PL,register,pesel,abdlkrm
ABDUL-RAHMAN,,,PL,register,pesel,abdlrhmn
ABDUL-SAMAD,,,PL,register,pesel,abdlsmd
ABDULAAHI,,,PL,register,pesel,abdlh
ABDULAH,,,PL,register,pesel,abdlh
ABDULAZIZ,,,PL,register,pesel,abdlzz
ABDULGATER,,,PL,register,pesel,abdlgtr
ABDULHAMID,,,PL,register,pesel,abdlhmd
ABDULKARIM,,,PL,register,pesel,abdlkrm
ABDULLA,ABDULLY,grammar,PL,register,pesel,abdl
ABDULLA-ALSHEHHI,,,PL,register,pesel,abdllshh
ABDULLAEVA,ABDULLAEVY,grammar,PL,register,pesel,abdlv
ABDULLAEVY,ABDULLAEVA,grammar,,,,abdlv
ABDULLAH,,,PL,register,pesel,abdlh
ABDULLAHI,,,PL,register,pesel,abdlh
ABDULLAJEW,,,PL,register,pesel,abdlv
ABDULLOH,,,PL,register,pesel,abdlh
ABDULLY,ABDULLA,grammar,,,,abdl
ABDULOV,,,PL,register,pesel,abdlv
ABDULSALAM A.EBRAHIM,,,PL,register,pesel,abdlslm 
ABDULZADE,,,PL,register,pesel,abdlzd
ABDUŻABBAROV,,,PL,register,pesel,abdzbrv
ABDUŁCHALIMOW,,,PL,register,pesel,abdclmv
ABDYPOOR,,,PL,register,pesel,abdpr
ABE,,,PL,register,pesel,ab
ABEBE,,,PL,register,pesel,abb
ABEC,,,PL,register,pesel,abc
ABED,,,PL,register,pesel,abd
ABED ALSALAM,,,PL,register,pesel,abd lslm
ABED RABO,,,PL,register,pesel,abd rb
Abedi,Abidi,curated,,,,abd
ABEDINI,,,PL,register,pesel,abdn
ABEELUCK,,,PL,register,pesel,ablk
ABEID,,,PL,register,pesel,abd
Abel,Albrecht,curated,PL,register,pesel,abl
Abel,Albert,curated,PL,register,pesel,abl
Abel,Havel,curated,PL,register,pesel,abl
Abel,Abele,curated,PL,register,pesel,abl
Abel,Appel,curated,PL,register,pesel,abl
Abel,Alberto,curated,PL,register,pesel,abl
Abel,Aabel,curated,PL,register,pesel,abl
Abel,Avraham,curated,PL,register,pesel,abl
Abel,Obel,curated,PL,register,pesel,abl
Abel,Apelt,curated,PL,register,pesel,abl
Abel,Aubel,curated,PL,register,pesel,abl
Abel,Abbel,curated,PL,register,pesel,abl
Abel,Abelius,curated,PL,register,pesel,abl
Abel,Obelt,curated,PL,register,pesel,abl
Abel,Oppl,curated,PL,register,pesel,abl
Abel,Abello,sounds,PL,register,pesel,abl
ABELA,ABELY,grammar,PL,register,pesel,abl
ABELAK,,,PL,register,pesel,ablk
Abele,Abel,curated,,,,abl
Abele,Aabel,sounds,,,,abl
Abele,Aubel,sounds,,,,abl
Abele,Abbel,sounds,,,,abl
Abele,Abello,sounds,,,,abl
ABELEC,,,PL,register,pesel,ablc
ABELING,,,PL,register,pesel,ablng
ABELITE,,,PL,register,pesel,ablt
Abelius,Abel,curated,,,,abls
Abello,Bello,curated,,,,abl
Abello,Abel,sounds,,,,abl
Abello,Abele,sounds,,,,abl
Abello,Aabel,sounds,,,,abl
Abello,Aubel,sounds,,,,abl
Abello,Abbel,sounds,,,,abl
ABELN,,,PL,register,pesel,abln
ABELOVA,ABELOVY,grammar,PL,register,pesel,ablv
ABELOVY,ABELOVA,grammar,,,,ablv
ABELSKA,ABELSKI,grammar,PL,register,pesel,ablsk
ABELSKI,ABELSKA,grammar,PL,register,pesel,ablsk
ABELUNAS,,,PL,register,pesel,ablns
ABELY,ABELA,grammar,,,,abl
ABEND,,,PL,register,pesel,abnd
ABENDROT,,,PL,register,pesel,abndrt
ABENDROTH,,,PL,register,pesel,abndrt
ABENZO,,,IT,archive,Falco,abnz
ABERBACH,,,PL,register,pesel,abrbc
ABERBUCH,,,PL,register,pesel,abrbc
ÅBERG,,,PL,register,pesel,abrg
ABERLICH,,,PL,register,pesel,abrlc
ABERSKA,ABERSKI,grammar,PL,register,pesel,abrsk
ABERSKI,ABERSKA,grammar,PL,register,pesel,abrsk
ABERT,,,PL,register,pesel,abrt
ABGARO ZACHARIASIEWICZ,,,PL,register,pesel,abgr zcr
ABGAROWICZ,,,PL,register,pesel,abgrvc
ABI ISSA,,,PL,register,pesel,ab s
ABI KARAM,,,PL,register,pesel,ab krm
ABI YAGHI,,,PL,register,pesel,ab 
ABICH,,,PL,register,pesel,abc
ABID,,,PL,register,pesel,abd
Abidi,Abedi,curated,PL,register,pesel,abd
ABIDULIN,,,PL,register,pesel,abdln
ABIED,,,PL,register,pesel,abd
ABIJSKA,ABIJSKI,grammar,PL,register,pesel,absk
ABIJSKI,ABIJSKA,grammar,PL,register,pesel,absk
ABIŃSKI,,,PL,register,pesel,abnsk
ABISMAIL HEDJOUDJA,,,PL,register,pesel,absml hd
ABKA,ABKY,grammar,PL,register,pesel,abk
ABKOWICZ,,,PL,register,pesel,abkvc
ABKY,ABKA,grammar,,,,abk
ABLAMOWICZ,,,PL,register,pesel,ablmvc
ABLASS,,,PL,register,pesel,abls
ABLEWICZ,,,PL,register,pesel,ablvc
ABLEWSKA,ABLEWSKI,grammar,PL,register,pesel,ablvsk
ABLEWSKI,ABLEWSKA,grammar,PL,register,pesel,ablvsk
ABMAN,,,PL,register,pesel,abmn
ABNEY,,,PL,register,pesel,abn
ABO AKR,,,PL,register,pesel,ab kr
ABO ASSAF,,,PL,register,pesel,ab sf
ABO EL SOUD,,,PL,register,pesel,ab l sd
ABO SAEID,,,PL,register,pesel,ab sd
ABO-EL-ELLA KORYCKA,ABO-EL-ELLA KORYCKI,grammar,PL,register,pesel,abll krk
ABO-EL-ELLA KORYCKI,ABO-EL-ELLA KORYCKA,grammar,,,,abll krk
ABOAH,,,PL,register,pesel,abh
ABOD,,,PL,register,pesel,abd
ABOLIK,,,PL,register,pesel,ablk
ABOO,,,PL,register,pesel,ab
ABOOD,,,PL,register,pesel,abd
ABOOD AL HASSANI,,,PL,register,pesel,abd l hs
ABOOD AL-HASSANI,,,PL,register,pesel,abd lhsn
ABOROWICZ,,,PL,register,pesel,abrvc
Abot,Abbott,curated,,,,abt
Abot,Abbot,curated,,,,abt
Abot,Abott,sounds,,,,abt
Abot,Abbate,sounds,,,,abt
Abot,Abate,sounds,,,,abt
Abot,Abatte,sounds,,,,abt
Abott,Abbott,curated,,,,abt
Abott,Abbot,curated,,,,abt
Abott,Abot,sounds,,,,abt
Abott,Abbate,sounds,,,,abt
Abott,Abate,sounds,,,,abt
Abott,Abatte,sounds,,,,abt
ABOU ALAYWI,,,PL,register,pesel,ab lv
ABOU BAKER,,,PL,register,pesel,ab bkr
ABOU DAOUD,,,PL,register,pesel,ab dd
ABOU EL NAGA,ABOU EL NAGY,grammar,PL,register,pesel,ab l ng
ABOU EL NAGY,ABOU EL NAGA,grammar,,,,ab l ng
ABOU EL OMREN,,,PL,register,pesel,ab l mrn
ABOU EL-ZOLOF,,,PL,register,pesel,ab lzlf
ABOU GHALOUN,,,PL,register,pesel,ab gln
ABOU HAGAR,,,PL,register,pesel,ab hgr
ABOU HAMAD,,,PL,register,pesel,ab hmd
ABOU HASAN,,,PL,register,pesel,ab hsn
ABOU KASSEM,,,PL,register,pesel,ab ksm
ABOU OKAL,,,PL,register,pesel,ab kl
ABOU RJEILY,,,PL,register,pesel,ab rl
ABOU SALEH,,,PL,register,pesel,ab slh
ABOU ZEID,,,PL,register,pesel,ab zd
ABOU-ALI,,,PL,register,pesel,abl
ABOU-HILAL,,,PL,register,pesel,abhll
ABOU-KHADRA,,,PL,register,pesel,abhdr
ABOUD,,,PL,register,pesel,abd
ABOUELFADEL,,,PL,register,pesel,ablfdl
ABOUELOLA,ABOUELOLY,grammar,PL,register,pesel,abll
ABOUELOLY,ABOUELOLA,grammar,,,,abll
ABOUFAKHER,,,PL,register,pesel,abfhr
ABOUHAMER,,,PL,register,pesel,abhmr
ABOUHEIF,,,PL,register,pesel,abhf
ABOUHILAL,,,PL,register,pesel,abhll
ABOUL-HASSAN,,,PL,register,pesel,ablhsn
ABOULKER,,,PL,register,pesel,ablkr
ABOURJILA,ABOURJILY,grammar,PL,register,pesel,abrl
ABOURJILY,ABOURJILA,grammar,,,,abrl
ABOUTALEB,,,PL,register,pesel,abtlb
ABOUZAR,,,PL,register,pesel,abzr
ABOUZEID,,,PL,register,pesel,abzd
ABOUZR,,,PL,register,pesel,abzr
ABRACEWICZ,,,PL,register,pesel,abrsvc
ABRACHAM,,,PL,register,pesel,abrcm
ABRACHAMCZYK,,,PL,register,pesel,abrcmck
ABRACHAMOWICZ,,,PL,register,pesel,abrcmvc
ABRACHIMOWSKA,ABRACHIMOWSKI,grammar,PL,register,pesel,abrsmvsk
ABRACHIMOWSKI,ABRACHIMOWSKA,grammar,PL,register,pesel,abrsmvsk
ABRAGIMOWICZ,,,PL,register,pesel,abrmvc
ABRAHAM,,,PL,register,pesel,abrhm
ABRAHAMCZYK,,,PL,register,pesel,abrhmck
ABRAHAMEK,,,PL,register,pesel,abrhmk
ABRAHAMIK,,,PL,register,pesel,abrhmk
ABRAHAMÓW,,,PL,register,pesel,abrhmv
ABRAHAMOWICZ,,,PL,register,pesel,abrhmvc
ABRAHAMOWSKA,ABRAHAMOWSKI,grammar,PL,register,pesel,abrhmvsk
ABRAHAMOWSKI,ABRAHAMOWSKA,grammar,PL,register,pesel,abrhmvsk
ABRAHAMS,,,PL,register,pesel,abrhms
Abrahamsen,Abrahamson,curated,PL,register,pesel,abrhmsn
Abrahamsen,Abrahamsson,sounds,PL,register,pesel,abrhmsn
Abrahamsohn,Abrahamson,curated,,,,abrhmshn
Abrahamson,Abrahamsson,curated,,,,abrhmsn
Abrahamson,Abrahamsen,curated,,,,abrhmsn
Abrahamson,Abrahamsohn,curated,,,,abrhmsn
Abrahamson,Abramson,curated,,,,abrhmsn
Abrahamsson,Abrahamson,curated,PL,register,pesel,abrhmsn
Abrahamsson,Abrahamsen,sounds,PL,register,pesel,abrhmsn
Abrahamyan,Abramyan,curated,PL,register,pesel,abrhmn
ABRAHIM,,,PL,register,pesel,abrhm
ABRAM,,,PL,register,pesel,abrm
ABRAM-ZIELIŃSKA,ABRAM-ZIELIŃSKI,grammar,PL,register,pesel,abrmzlns
ABRAM-ZIELIŃSKI,ABRAM-ZIELIŃSKA,grammar,,,,abrmzlns
ABRAMAJTYS,,,PL,register,pesel,abrmts
ABRAMCIÓW,,,PL,register,pesel,abrmsv
ABRAMCZEWSKA,ABRAMCZEWSKI,grammar,PL,register,pesel,abrmsvsk
ABRAMCZEWSKI,ABRAMCZEWSKA,grammar,PL,register,pesel,abrmsvsk
Abramczik,Abramczyk,curated,,,,abrmsk
ABRAMCZUK,,,PL,register,pesel,abrmck
ABRAMCZUK-KALINOWSKA,ABRAMCZUK-KALINOWSKI,grammar,PL,register,pesel,abrmckln
ABRAMCZUK-KALINOWSKI,ABRAMCZUK-KALINOWSKA,grammar,,,,abrmckln
ABRAMCZUK-MIELNIK,,,PL,register,pesel,abrmckml
Abramczyk,Abramczik,curated,PL,register,pesel,abrmck
ABRAMCZYK-BUŁA,ABRAMCZYK-BUŁY,grammar,PL,register,pesel,abrmckb
ABRAMCZYK-BUŁY,ABRAMCZYK-BUŁA,grammar,,,,abrmckb
ABRAMCZYK-SOBOLEWSKA,ABRAMCZYK-SOBOLEWSKI,grammar,PL,register,pesel,abrmcksb
ABRAMCZYK-SOBOLEWSKI,ABRAMCZYK-SOBOLEWSKA,grammar,,,,abrmcksb
ABRAMEK,,,PL,register,pesel,abrmk
ABRAMEK VEL JANISZEWSKA,ABRAMEK VEL JANISZEWSKI,grammar,PL,register,pesel,abrmk vl
ABRAMEK VEL JANISZEWSKI,ABRAMEK VEL JANISZEWSKA,grammar,,,,abrmk vl
ABRAMENKAU,,,PL,register,pesel,abrmnk
ABRAMIAN,,,PL,register,pesel,abrmn
ABRAMIDES,,,PL,register,pesel,abrmds
ABRAMIEC,,,PL,register,pesel,abrmc
ABRAMIENKO,,,PL,register,pesel,abrmnk
ABRAMIK,,,PL,register,pesel,abrmk
ABRAMIUK,,,PL,register,pesel,abrmk
ABRAMKIEWICZ,,,PL,register,pesel,abrmkvc
Abramo,Bram,curated,,,,abrm
ABRAMOV,,,PL,register,pesel,abrmv
ABRAMOVA,ABRAMOVY,grammar,PL,register,pesel,abrmv
ABRAMOVICH,,,PL,register,pesel,abrmvc
ABRAMOVY,ABRAMOVA,grammar,,,,abrmv
ABRAMÓW,,,PL,register,pesel,abrmv
ABRAMOW-NEWERLY,,,PL,register,pesel,abrmvnvr
ABRAMOWA,ABRAMOWY,grammar,PL,register,pesel,abrmv
ABRAMOWICZ,,,PL,register,pesel,abrmvc
ABRAMOWSKA,ABRAMOWSKI,grammar,PL,register,pesel,abrmvsk
ABRAMOWSKA-GOŁĄB,,,PL,register,pesel,abrmvskg
ABRAMOWSKI,ABRAMOWSKA,grammar,PL,register,pesel,abrmvsk
ABRAMOWY,ABRAMOWA,grammar,,,,abrmv
ABRAMS,,,PL,register,pesel,abrms
ABRAMSKA,ABRAMSKI,grammar,PL,register,pesel,abrmsk
ABRAMSKI,ABRAMSKA,grammar,PL,register,pesel,abrmsk
Abramson,Abrahamson,curated,,,,abrmsn
ABRAMUK,,,PL,register,pesel,abrmk
Abramyan,Abrahamyan,curated,,,,abrmn
ABRAMYK,,,PL,register,pesel,abrmk
ABRAMZIK,,,PL,register,pesel,abrmzk
ABRANTOWICZ,,,PL,register,pesel,abrntvc
ABRAŚ,,,PL,register,pesel,abrs
ABRASOWICZ,,,PL,register,pesel,abrsvc
ABRASOWICZ-MADEJ,,,PL,register,pesel,abrsvcmd
